freq_hz,H_real,H_imag,mag_A_per_V,mag_db,phase_deg_raw,input_amp_V,output_amp_A,input_offset_V,output_offset_A,input_fit_quality,output_fit_quality,cycles_total,cycles_used,n_samples,t_start,t_end,phase_deg
3.0,0.01648653948340519,0.10492932878542133,0.10621661839607269,-19.476150585414146,81.07066486391203,0.022001337565801606,0.002336907676429928,0.04471588306439155,-0.005931285810535919,0.0005139525199522321,0.00029064903515474416,40.218159771,37.217108475,1111,2.542663547,14.948366372,81.07066486391203
5.0,-0.05527262750371916,-0.00930151015912261,0.056049812153165623,-25.028516771453422,-170.44752822603562,0.008589093142052988,0.0004814170571781131,0.037206117844197785,-0.00508966415611331,8.593054109551357e-05,1.2598101100436132e-05,67.008170425,63.995498225,950,2.166520012,14.965619657,189.55247177396438
8.0,-0.0936779940344948,-0.02297457041521577,0.0964541209699749,-20.313584250751923,-166.22016280964928,0.046899428716948924,0.004523643170887305,0.042625438447032184,-0.003868249240526427,0.0021345363812278473,0.0009482194435139757,107.07366092800001,103.995925432,1049,1.926838295,14.926328974,193.77983719035072
11.0,-0.10454187376795679,-0.12438628368648201,0.1624836943826961,-15.783804299231576,-130.0457564236319,0.04082135293639133,0.006632804234804784,0.023332205811251804,0.0007033782078005332,0.0017458071303160239,0.0020901496986936996,147.25214693200002,144.170301814,734,1.861097469,14.967488543,229.95424357636813
14.0,-0.09742877777055582,0.006899162536149536,0.09767274533647839,-20.204532103569086,175.94951135069235,0.03403270251790421,0.0033240674861433847,-0.009263497054202964,0.0035694392137537913,0.0011786174810705097,0.0005118334738528629,187.93848311,184.862092268,1342,1.761382104,14.965817266,175.94951135069235
17.0,-0.18928199955958228,0.022046746216257677,0.19056162881335206,-14.399290874821705,173.35637199214872,0.03961319311309524,0.00754875460212929,-0.015578596424507745,0.003269016501166441,0.001509873294428421,0.002291549377491542,227.82436499500002,224.774450466,1071,1.729817445,14.951843943,173.35637199214872
20.0,-0.1239687208941138,0.01674208068062515,0.12509412866173716,-18.055261471942636,172.3086911110131,0.031508382160771176,0.003941513611942694,-0.0038376869850871,0.0045809789191273344,0.0009143612475185359,0.0006199328381724101,268.33504306,265.11254418,1133,1.682810831,14.93843804,172.3086911110131
23.0,-0.046089841125381975,-0.02609356178517864,0.05296364245026853,-25.520443099140774,-150.48382016614073,0.026015174552860763,0.001377858403299042,-0.008278036057746175,0.003099991268674667,0.0005714010611964637,7.045127245131066e-05,308.455676395,304.037328716,966,1.748573824,14.967588116,209.51617983385924
26.0,-0.02072091435248524,-0.08323788034802339,0.08577820828412591,-21.33246058894845,-103.97885852490742,0.02484697227747526,0.002131328763247175,-0.04801303176022849,0.011382856746967098,0.0005307101903855305,0.00018859992183806185,348.71118256,343.458546574,1242,1.749735496,14.959679595,256.0211414750926
28.0,-0.12586377108463923,0.035208623478027105,0.13069558538399048,-17.674781634120173,164.37178277232871,0.0821018864113332,0.010730354105659087,-0.018156216783562214,0.005618469110688175,0.00537974927344842,0.004341703560716392,376.25710024,373.161083708,1094,1.630811608,14.957993169,164.37178277232871
31.0,-0.14088023084003928,-0.06638183904465453,0.15573627707279114,-16.152204229380025,-154.77049462405816,0.025376643171628105,0.003952063932154029,-0.08425369459808275,0.015836962631875444,0.0005341181414432183,0.0006113933704251506,416.512403163,413.503821946,1110,1.624618938,14.963451904,205.22950537594184
34.0,-0.1294817206557057,0.07706610880740095,0.15068079210926777,-16.43884210866663,149.23935330992526,0.0775840275784742,0.011690422730551766,-0.05710327296429436,0.01094973877436851,0.0051374161286036335,0.005211003300883532,454.874394474,448.502211544,690,1.760407652,14.951649168,149.23935330992526
37.0,-0.051198459831142455,0.010845864667352411,0.05233464502090017,-25.62421434498562,168.03930521658253,0.041024108603983665,0.0021469821610883414,-0.10958352442922778,0.01747298382152085,0.0012885148700325644,0.00015289441774091195,496.49695941699997,492.65265930600003,1523,1.653441832,14.96837857,168.03930521658253
40.0,-0.2940254492850229,-0.10250918025032248,0.31138255709472984,-10.134114384470362,-160.77937604382177,0.009277975770320452,0.0028889998200253273,-0.14822868210900556,0.021109877910619718,6.727060584932332e-05,0.00030237982427050447,536.22571784,533.21207656,1112,1.617559148,14.947861062,199.2206239561782
43.0,-0.09055789714763787,-0.021660154397103996,0.09311227107266015,-20.619861609597226,-166.5483895712081,0.06243934632155439,0.005813869340292277,-0.17380186433395878,0.02688290419789816,0.00312229413063303,0.001237919233002649,577.536253251,574.516353791,1169,1.592783782,14.953629219,193.45161042879187
46.0,-0.23270341838995418,-0.1085323753868027,0.2567686846900765,-11.80915887184499,-154.99575522664966,0.029181536900006553,0.007492904847049614,-0.14516171083336574,0.02428627679203768,0.0005906735286708154,0.0017989355784686634,618.245303524,614.996745528,1011,1.586813498,14.956307966,205.00424477335034
49.0,0.01837946504802597,0.25349473359724733,0.2541601556046718,-11.897850645847512,85.85306455371568,0.004041966039819289,0.0010273067176292696,-0.20295134391346525,0.031369004790165925,1.2265714253278936e-05,3.722942005646157e-05,658.984859596,655.775307215,1395,1.578891588,14.962061123,85.85306455371568
51.0,-0.09945983449519198,0.00012904939641141097,0.09945991821612209,-20.047038044304205,179.9256586173572,0.04994081448615241,0.0049671093244392445,-0.21422392924434203,0.03480977472097458,0.0019176138491051598,0.0008425063580930203,684.909582405,681.594263094,1138,1.574737895,14.939331289,179.9256586173572
54.0,-0.1657944142110408,0.028831591379540448,0.1682826445152885,-15.479213435671198,170.1349376591062,0.04699525714489229,0.00790848615201848,-0.2539453567184247,0.03804252858607472,0.0017470534262347126,0.002207389445566421,726.087129246,722.7797538780001,1245,1.577053683,14.96186394,170.1349376591062
57.0,-0.13576741530217637,-0.024234633881399535,0.13791340956266404,-17.207870091140535,-169.8792330300359,0.018010013375135657,0.0024838223508341405,-0.22306670309842236,0.03483694367188502,0.00024745091075806247,0.00020711483500424066,766.794295842,763.1332200989999,907,1.574056791,14.962358898,190.1207669699641
60.0,-0.09491973142723985,-0.035695930497095824,0.1014098361514939,-19.87839837951296,-159.39050736191373,0.024764995286953723,0.0025114141143424955,-0.35094228490472407,0.049554271428253235,0.0005622135416653018,0.0002472086234460713,806.02461756,802.9803189,1380,1.576376209,14.959381524,200.60949263808627
63.0,-0.02603617398763867,-0.08132286497348974,0.08538905505631876,-21.3719558492801,-107.75288831866155,0.017291876018293774,0.0014765369533531253,-0.34304397824630034,0.04989745536734162,0.0002531593033233692,8.081861181741257e-05,848.0183300189999,844.953151266,1225,1.554550883,14.966505665,252.24711168133845
66.0,-0.2007027464627474,-0.004886681219555054,0.20076222774972244,-13.946359876651218,-178.60524627911022,0.02799381362445555,0.005620100386456227,-0.3799792446283041,0.057242329591689844,0.0006882810462637279,0.0012640782198410916,885.97887378,882.5158919940001,1201,1.57511939,14.946572299,181.39475372088978
69.0,-0.12640678328615662,0.05141650487073205,0.13646366488510916,-17.299659388660448,157.86575404521855,0.021092643058392483,0.0028783793738616963,-0.3849191728823379,0.05853741505706127,0.00037819290698204444,0.00032332372829946276,927.017537751,924.007190157,1088,1.543951041,14.935359594,157.86575404521855
72.0,-0.011266479204702185,-0.002401194419869278,0.01151951771177935,-38.77131406321705,-167.9687156920664,0.019495215345845654,0.00022457547847142158,-0.411092956397794,0.05914004224959168,0.00035783351276852393,2.092508297968365e-06,968.3408217599999,965.088233496,1252,1.559050906,14.963054149,192.0312843079336
74.0,-0.03232472382891371,0.10261659313711938,0.10758742007170094,-19.36477013340022,107.4846797678415,0.03307754784970211,0.003558728035447689,-0.42493590877778503,0.06405711230244804,0.0010635175141816555,0.0005073890591761332,994.406207798,990.9913576959999,1210,1.558379858,14.950154962,107.4846797678415
77.0,-0.09555497363989537,0.008915053553547271,0.095969949292389,-20.35729469328409,174.6698685278599,0.03582047145178107,0.003437688828856897,-0.4466277153799321,0.0689591743450506,0.0013492661059471,0.0005434946908134952,1036.2540521409999,1032.995887,1225,1.551566325,14.967097325,174.6698685278599
80.0,-0.18313364718086195,0.05475605236764744,0.19114433813391643,-14.372771232900597,163.35359596533533,0.03910796910954987,0.007475266871206558,-0.41066817674580963,0.06494308350575287,0.001441297383355633,0.002360655697533187,1076.87994232,1072.93371464,600,1.555129358,14.966800791,163.35359596533533
83.0,-0.05346703872541491,0.11200110200195162,0.12410870670390772,-18.12395500002957,115.5188564611866,0.021764595367632256,0.0027011757830107002,-0.4865559749713869,0.07076265640982835,0.0004565331190714561,0.0003374545838853438,1116.554157424,1112.981068014,1923,1.545011622,14.95442208,115.5188564611866
86.0,-0.09992068300460577,0.03616090861992476,0.10626266608892072,-19.472385840202428,160.105005895451,0.030794026961248645,0.003272255404516387,-0.5117680971082937,0.0769076165791952,0.00098518736244535,0.00046691949572086333,1157.092599546,1153.81748296,1237,1.550122415,14.966604775,160.105005895451
89.0,-0.05852114155715398,0.0383209926985516,0.06995157246663508,-23.104050368001523,146.7822962615042,0.03046425410406193,0.002131022478602274,-0.5012900580168065,0.07589525274083693,0.0009552409325765954,0.00018253781872357155,1196.5382011390002,1193.381090611,1331,1.550507485,14.959283784,146.7822962615042
92.0,-0.13789063025602766,-0.07029521862791092,0.15477481602105145,-16.205994071106787,-152.9879828543895,0.02054420282806986,0.003179725213013678,-0.5324380126296072,0.07712959319066573,0.0003746413043688168,0.00035426086382350785,1236.232563608,1232.960636232,1110,1.544626459,14.946372505,207.0120171456105
95.0,-0.007251769725068171,0.008971540302746495,0.01153588746257608,-38.758979786578585,128.9488937235412,0.026592421656349077,0.0003067671835850139,-0.5665818648195601,0.08365471162262081,0.0008407708242623713,4.546299564589518e-06,1277.4873171150002,1274.23619719,1474,1.545973389,14.958985991,128.94889372354126
97.0,-0.178535008863094,0.12241771511822927,0.21647366205733434,-13.291898717757984,145.562383928629,0.015839702927690415,0.003428878498657424,-0.571141543875108,0.08379442286312275,0.00028254864553323156,0.0005213639740219156,1302.9259251039998,1299.8306525819999,1397,1.543179902,14.943495908,145.56238392862906
100.0,-0.04384540380180312,-0.06497773591352794,0.07838702443001233,-22.1151164210113,-124.01052423535891,0.029577147656741517,0.002318464595939079,-0.586292839653186,0.08880181150739819,0.0009530936570539827,0.0002453607622036058,1345.4381095,1342.2669882,1305,1.540484284,14.963154166,235.98947576464113
103.0,-0.07894013913221724,0.004506415528593579,0.07906866223182334,-22.039912179975612,176.73273112789778,0.03876951902257493,0.0030654540044862274,-0.5450446943231014,0.08018121620656447,0.0014304328815137879,0.00034353483545990215,1386.629449211,1383.246906654,1044,1.53662918,14.966210798,176.73273112789784
106.0,-0.17145641705744752,0.008265162080677926,0.17165551507131152,-15.306844773799204,177.24015812796517,0.030926812208216466,0.005308757879115123,-0.6221974540204714,0.09203076583368747,0.0011433764686165082,0.0012504967084078222,1427.1415832520001,1424.110057028,1682,1.532292063,14.967292601,177.24015812796523
109.0,-0.07985466495755479,0.0978918283695402,0.12633122170316743,-17.969786078724663,129.20563676768552,0.02227500318862017,0.0028140283662603364,-0.6098877982531443,0.08952278827179516,0.0005092507551361924,0.0003078564306501219,1467.4042891390002,1464.0353191010001,1386,1.530942393,14.962459082,129.20563676768558
112.0,-0.05746381833945547,-0.00644548175349146,0.05782417014695957,-24.757811824214684,-173.60011640711792,0.01851139001342526,0.0010704057657930305,-0.6135386643286685,0.09139984720325652,0.0003653283872330215,4.789646160763272e-05,1505.997019968,1502.987601808,1376,1.531616996,14.951149155,186.3998835928821
115.0,-0.0645149127561102,0.05686984541027404,0.08600205395754788,-21.30982353052932,138.6038485358955,0.03845514347114412,0.0033072213237505823,-0.659337898440752,0.09341919269624298,0.0015289215184068894,0.0004400011189610309,1548.36580152,1544.933341895,1272,1.531713384,14.965916357,138.60384853589557
118.0,-0.01650606049339382,-0.046818301163522764,0.04964275734535596,-26.082882083105417,-109.42039443776258,0.023590235988498215,0.0011710843608967,-0.6387133945464184,0.09463333061368731,0.0006175964966950165,5.797320636147241e-05,1584.601268816,1580.699848622,1414,1.543372881,14.93913431,250.57960556223748
120.0,-0.22468519045653387,-0.029580368089682587,0.22662399031614022,-12.893882356316395,-172.49999960015188,0.022671440672476256,0.005137892351412206,-0.6437448045938667,0.09414602940943285,0.0005310135371173752,0.0009985470849571687,1615.6869426,1612.2440884799998,1337,1.531039373,14.966406777,187.50000039984815
